Actual Demand,Forecast Demand
7233.46,8322.153591396094
7121.7,7869.066615711332
7023.76,7795.387824225724
6939.73,7627.937068227649
6926.5,7636.544740937294
6821.07,7500.173662763894
6633.06,7331.659912479282
6526.29,7191.581259359539
6418.8,7118.310650032521
6277.52,6906.357045551897
6026.8,6679.613768315733
5831.87,6491.112953246892
5675.79,6277.392311950923
5612.37,6126.017910641552
5531.75,6069.753776003958
5558.55,6045.581171216489
5624.86,6314.353349800706
5672.86,6457.526826663852
5796.51,6772.8269916766885
5879.24,7058.882386718274
6104.6,7352.274067418159
6369.71,7718.882347393633
6620.99,7944.344678277314
6820.39,8254.128648568512
6973.11,8287.40553175974
6967.11,8360.299026656867
7002.6,8362.701279032826
6922.62,8341.351535871387
6891.02,8298.180776002408
6777.93,8331.198602132798
6746.75,8258.469527215244
6723.97,8254.05026229918
6682.86,8277.352014752985
6738.26,8184.506346520782
6659.87,8249.753356437684
6744.03,8233.276944996358
6784.26,8206.450678213001
6879.23,8234.29309870732
6957.09,8238.507794579029
7117.97,8238.736261876225
7193.29,8243.17082167411
7382.76,8313.556911882759
7622.72,8348.638591128827
7744.84,8327.71328093791
7881.89,8374.955347161533
7853.01,8417.982717513443
7619.17,8344.932450077653
7479.64,8279.713162134052
7274.16,8180.487616322399
7112.85,7903.5924215962295
6996.18,7813.609286089779
6886.49,7638.258245666266
6838.15,7646.047164233447
6646.51,7482.163939420045
6496.39,7319.192193970144
6372.64,7216.21701228714
6324.31,7112.727062237859
6173.48,6929.373452866734
5910.49,6675.170127181769
5687.17,6485.983432256282
5577.57,6308.3324239789845
5580.22,6147.573656742514
5551.86,6075.240814857126
5608.56,6053.3237271731505
5858.84,6289.588068342686
6160.8,6451.534578745544
6730.57,6754.749875259818
7207.88,7055.4721060373195
7490.96,7344.813988810122
7738.29,7707.773483541251
7773.13,7888.897863887013
7793.84,8188.262195937873
7916.99,8343.625693612099
7933.39,8333.794908321857
8010.77,8414.317681457163
8042.640000000001,8411.770127703905
8102.56,8428.120356370211
8127.14,8407.822136333943
8177.310000000001,8419.185277596594
8330.66,8429.583885374428
8371.8,8431.02925170648
8450.57,8425.509711229444
8449.99,8451.274895586492
8489.86,8439.014135946989
8471.2,8476.886175195217
8544.48,8373.143859595895
8594.4,8412.331258680702
8687.91,8446.967474493742
8723.11,8452.907624220848
8771.3,8476.694033242346
8715.25,8401.977579618217
8579.13,8663.08606648016
8542.39,8606.445295377733
8534.65,8543.245887764573
8238.46,8413.08931126094
8059.82,8335.431460676671
7775.74,8205.703140864016
7508.94,7977.707595178784
7422.61,7841.327435669304
7235.13,7659.17160673076
7215.33,7658.112436164678
7116.98,7455.568529759169
7031.73,7304.582236075998
6934.54,7191.581259359539
6770.87,7124.106932277501
6623.29,6868.715385461092
6268.35,6683.603820610702
6043.85,6506.230032066405
5839.28,6254.910269569696
5674.81,6109.10033745271
5679.89,6065.881303112984
5756.39,6042.265049651743
5982.99,6321.697282899917
6330.96,6456.639245553196
6890.25,6772.8269916766885
7411.29,7058.880952823103
7762.8,7352.289840265036
7949.87,7732.677374865771
7922.21,8003.191258117319
7835.56,8323.895296063423
7790.65,8344.995541465163
7733.26,8492.838736934185
7642.37,8435.272625481606
7538.99,8402.205090985299
7469.68,8388.676768014908
7384.69,8333.384814303041
7326.17,8284.586493854165
7302.28,8313.173583907128
7290.74,8308.027812104583
7280.59,8195.37718377483
7283.28,8248.459027063609
7256.82,8233.993892581702
7315.27,8224.54069968641
7373.56,8238.191381711364
7534.29,8238.462865863681
7617.35,8240.938724858404
7801.36,8242.875439268948
7940.23,8310.43675599134
8003.92,8355.552833641887
8141.56,8392.742338788868
8324.99,8420.733884380938
8383.1,8423.464020785928
8279.29,8363.005264809013
8157.399999999999,8357.026877877355
7926.96,8349.658568560244
7666.86,7998.104276016773
7559.85,7780.133091469825
7359.44,7636.517974894107
7435.94,7667.112040220976
7362.49,7620.551552168489
7218.97,7385.719194309414
7174.02,7375.167637713374
7025.18,7433.213626083077
6889.47,7299.49095228994
6584.48,7058.122422277809
6300.4,6920.082290125728
